betray	trahir, dénoncer
differentiate	se différencier, faire la différence entre  et , faire la distinction entre  et , différencier, distingue, faire la différence entre, faire la distinction entre
fort	fort
revenge	vengeance, venger, revanche
rhetoric	rhétorique
flu	grippe
economical	économique, économe
banker	banquier, banquière
buggy	boghei, boguet, buggy, poussette, bogué
slot	fente, machine à sous
dynamics	dynamique, dynamique, énergique
compact	compact, dense, poudrier, compact, compacter
dough	fric, pognon, flouze, blé, pâte
solidarity	solidarité
cleaning	nettoyage, nettoyant
skeleton	réduit au minimum, squelette
vocational	professionnel, professionnelle
whatsoever	aucun, pas le moindre, quel que, quelle que
sandy	sable, de sable
newsletter	bulletin d'information
enclose	joindre, entourer  de , entourer  avec, entourer
spontaneous	spontané
unwanted	non désiré, non sollicité
spit	postillonner, grésiller, cracher, tournebroche, bruiner, crachiner, salive
archive	archives, archiver
jewel	perle, bijou
delegation	délégation
lecturer	maître de conférences, conférencier, conférencière
inadequate	insuffisant, incompétent, inadapté, inadéquat, inapproprié
quota	quota
wireless	wifi, Wi-Fi, sans fil
Holocaust	holocauste, génocide, incendie, l'Holocauste
speculate	supposer que, spéculer, spéculer sur, s'interroger, se poser des questions
beloved	chéri, adoré
cherry	cerise, rouge cerise, aux cerises, fleur
stool	tabouret
qualified	avoir le droit de faire, mitigé, qualifié, qualifié pour
nutrition	nutrition, valeur nutritionnelle
listener	oreille indiscrète, auditeur, auditrice, personne à l'écoute
copyright	droit d'auteur
explicitly	de façon sexuelle, de manière sexuelle, explicitement, clairement, explicitement, ouvertement
axis	l'Axe, axe
unfamiliar	inhabituel, inhabituelle, inconnu, mal connaître
node	nodule, nœud
sticker	autocollant, bardane, épine
predictable	prévisible
trophy	trophée
prosperity	prospérité
shell	coquille
timing	date, chronométrage, minutage, rythme, timing
rightly	correctement, légitimement
flourish	bien pousser, fioriture, prospérer, grand geste, geste ample, moulinet
Kurdish	kurde
transcript	relevé de notes, transcription
cutting	coupe, découpe, coupure, bouture, pénétrant, glacial, acerbe, caustique
enormously	énormément
planner	planificateur, planificatrice
colonel	colonel
exclusion	exclusion
spectacle	lunettes, spectacle
gathering	collecte, assemblée, assemblée, réunion, fête
coordinator	coordinateur, coordinatrice
legendary	légendaire, légendaire, mythique
vomit	vomir, vomi
spinach	épinards, aux épinards, épinard
exploitation	exploitation
span	espace, portée, couvrir, recouvrir
forge	façonner, forger, imiter, contrefaire
relaxation	détente, décontraction, relaxation, relaxation, relaxation, décontraction
enlarge	s'agrandir, agrandir
Hungary	Hongrie
moan	gémissement, se plaindre, gémir
imprison	emprisonner, emprisonner, mettre en prison
uneasy	mal à l'aise, gêné, embarrassé, difficile, désagréable
regain	regagner, reprendre
amateur	amateur, amatrice
ferry	ferry, transporter
subsidiary	secondaire, filiale
stunning	magnifique, éblouissant
detention	retenue, détention
temper	mauvais caractère, tempérer, humeur
overview	vue d'ensemble
charming	Charmant !, Sympa !, charmant
noble	noble
scrutiny	regard insistant, examen (approfondi)
migration	migration, émigration
valuation	estimation, évaluation, expertise
saucepan	casserole
MA	Massachusetts, titulaire d'un master de lettres, master de lettres
pyjamas	pyjama
diameter	diamètre
stakeholder	partie intéressée, responsable
nursing	profession d'infirmier, profession d'infirmière, qui tête, qui allaite, qui donne le sein, soins, soins infirmiers
occurrence	circonstance, occasion, événement, fait
prospective	futur
Sri Lanka	Sri Lanka
conjunction	conjonction
fabulous	fabuleux, fabuleuse
multimedia	multimédia
allowance	marge de tolérance, concession, argent de poche, allocation
butterfly	papillon
manuscript	manuscrit
headteacher	directeur, directrice
worm	soutirer  à, vers, vermifuger, ver de terre, ver, ver, minable
browser	fureteur, fureteuse, navigateur
semester	semestre
selected	sélectionner, surligner, sélectionner, choisir, sélect
pasta	pâtes
supposedly	soi-disant
strap	sangler  à , attacher  à, sangle, courroie, lanière
fuck	coup, sale con, baiser  avec, baise, baiser, niquer, merde, merde alors, carotter  à , carotter  de
dwelling	habitation, demeure
greeting	salutation, bonjour, vœu, vœux
breathing	qui respire, respiration
threshold	aube, seuil, porte
vase	vase
vein	veine
hospitality	hospitality industry/sector : l'hôtellerie, hospitalité
sailor	matelot, marin
knackered	crevé, claqué
bizarre	bizarre, étrange
propaganda	propagande
mould	moule, façonner, former, forger, faire  de, modeler, façonner, moisissure, modeler, façonner, forger
mainstream	scolariser  dans une école normale/classique, normal,  classique, populaire, courant dominant, populariser, traditionnel, traditionnelle
sweater	pull, pull-over
hockey	hockey sur gazon, de hockey sur gazon, hockey, hockey sur glace, de hockey, de hockey sur glace
instrumental	contribuer (grandement) à, instrumental, morceau instrumental, jouer un rôle (important)
lid	couvercle, paupière
activate	mettre sur pied, monter, activer
stereotype	stéréotyper, stéréotype
decisive	résolu, décidé, décisif, décisive, clair, certain
freezer	congélateur
visa	Visa, carte Visa, visa
profitability	profitabilité, rentabilité
despair	désespoir, désespérer, désespérer de faire, désespérer de
bacon	bacon, au bacon, avec bacon, oseille, blé
mobility	mobilité
orthodox	conventionnel, conventionnelle
prestige	prestige
nominate	nommer  à, nommer, désigner  pour faire, désigner, nominer, nominer  pour
unreasonable	déraisonnable, excessif, excessive
luxury	luxe
distress	détresse, désarroi, bouleverser, ébranler, désoler
trumpet	barrir, trompette, barrissement, clamer, proclamer, claironner
toxic	toxique, nocif, nocive
binding	liens, reliure, extrafort, qui engage , qui lie
alike	de la même manière, semblable
fantastic	fantastique, sensationnel, merveilleux
livestock	bétail
technically	techniquement
articulate	exprimer, prononcé clairement, qui parle bien, qui s'exprime bien, clair et précis, bien parler
outbreak	explosion, épidémie
organiser	organiseur, agenda, organisateur, organisatrice
insistence	insistance
unprecedented	sans précédent
consistency	cohérence, homogénéité, uniformité, régularité, cohérence, consistance
keeper	soigneur (animalier), soigneuse (animalière), gardien, gardienne
obscure	cacher, obscur
subjective	subjectif, subjective
commentator	commentateur, commentatrice
confession	confession, aveu
calendar	calendrier, agenda
banner	drapeau, bandeau, gros titre, banderole
bass	basse, guitare basse, bar, de basse, grave, basse, contrebasse, les graves, les basses
poorly	mal, souffrant, malade
finished	fini
provincial	provincial, provinciale, provincial
peach	couleur pêche, pêche, pêcher
trained	diplômé, qualifié, entraîné
graphics	vivant, graphique, image, illustration, arts graphiques, explicite, graphismes
punk	punk, punk rock, voyou
blessing	bénédicité, bénédiction
chunk	gros morceau
invaluable	inestimable
likewise	de même
nationalism	nationalisme
civic	municipal, éducation civique, civique
dodgy	louche, bizarre, suspect, fragile, peu solide, mauvais, médiocre, risqué, dangereux, malhonnête
toll	bilan, sonner, péage
distinguished	éminent, distingué
accumulate	s'accumuler, accumuler
dense	opaque, bête, idiot, difficile à comprendre, dense, compact
autonomous	autonome
drill	faire faire des exercices de  à, percer  dans , forer  dans, fraise, roulette, percer, forer, perceuse, forer pour trouver, exercice, faire faire des exercices à
census	recensement, recenser
inappropriate	indécent, déplacé, inapproprié, inconvenant, inapproprié, déplacé
eyebrow	sourcil
rib	côtes, nervure, côte, couple
cautious	prudent
contempt	mépris, mépris, dédain, outrage
formally	officiellement, solennellement, officiellement
municipal	municipal
pretend	faire semblant de faire, faire semblant de ne pas faire, jouer à, pour jouer, faire semblant, factice, faire semblant que...
urine	urine
reconstruction	reconstitution, reconstruction
emergence	émergence
believer	croyant, croyante, partisan
extract	extrait, extraire, soutirer, arracher
redundant	redondant, licencié
added	supplémentaire
making	fabrication
overnight	en 24 heures, du jour au lendemain, d'une nuit, dans la nuit, la nuit, instantané, immédiat
interim	provisoire, entre-temps, en attendant
harmful	dangereux, dangereuse, nocif, nocive, nuisible
mining	exploitation minière
appropriately	de façon appropriée, de façon convenable
Brazilian	maillot brésilien, brésilien, brésilienne, Brésilien, Brésilienne
alert	alerte, mettre  en garde contre, alerter, vigilant
fucking	foutu, fichu, satané, putain de, vraiment
auction	vendre aux enchères, vente aux enchères
deteriorate	se détériorer, se dégrader
formulation	élaboration, formule, formulation
coherent	cohérent
constraint	contrainte, restriction, contrainte
maximise	maximiser, exploiter au maximum
psychiatric	psychiatrique
quantitative	quantitatif, quantitative
complication	complication
transplant	transplant, venir d'une autre région/d'un autre pays, transplanter, greffer, transplanter  dans , greffer  dans, transplanter, déplacer, transplantation, greffe
forecast	météo, prévoir, annoncer, prévisions, prévoir
parameter	paramètres, paramètre
loving	tendre, aimant
goose	oie
pro	pro, avantage, pour, un pro, une pro
linear	linéaire
pea	petit pois, aux pois, pois
vinegar	mauvais caractère, vinaigre
inject	faire une injection à, injecter, injecter  à , faire une injection de  à, injecter  dans
vocal	qui se fait entendre, chant, chanté, vocal, vocal
disappointing	décevant
unbelievable	incroyable
historically	historiquement
Lebanon	Liban
chimney	cheminée
passionate	passionné, dévoué, passionné, passionné, ardent, passionné par
pioneer	pionnier, pionnière
validity	validité
sofa	canapé, sofa
controller	responsable, manette, contrôleur, contrôleuse, directeur, directrice, appareil de contrôle, régulateur
likelihood	probabilité
seasonal	saisonnier, saisonnière
functionality	fonctionnalité
required	être tenu de faire, nécessaire, requis, obligatoire
slab	bloc, table d'opération, table d'autopsie, trancher, grosse part
Malaysian	malaisien, malaisienne, Malaisien, Malaisienne
rage	colère, faire rage, rage, colère, rager, enrager
analogy	analogie
arouse	exciter, susciter, éveiller, réveiller
flock	ouailles, effet velours, bourre, aller en groupe, aller en masse, affluer, s'attrouper, volée, nuée, troupeau
maturity	échéance, maturité
locality	, région
accord	accord, s'accorder avec, accorder  à, accord, consentement
ray	ré, raie, rayon
am	suis
shag	à poils longs, s'envoyer en l'air, dégradé flou, s'envoyer en l'air avec, partie de jambes en l'air, cormoran, tapis à poils longs
consecutive	consécutif, consécutive
injection	vaccin, injection, piqûre
monitoring	surveillance
pdf	PDF, pdf
proceeds	bénéfices
nappy	couche, couche pour adultes, couche adultes, couche
citizenship	citoyenneté, nationalité, éducation civique, civisme
testing	essais, tests, d'essai, éprouvant, compliqué
integral	intégrant, integral part : composant
verify	vérifier, confirmer
scenario	scénario
innovative	innovateur, innovatrice, novateur, novatrice
slogan	slogan
texture	texture, consistance, caractère, texture
tiger	tigre
monastery	monastère
jurisdiction	juridiction
entitlement	droit, croire que tout vous est dû
disclosure	divulgation, révélation, divulgation
condemnation	condamnation
greenhouse	serre
drip	égouttement, goutter, goutte, perfusion
comparatively	relativement
temporarily	temporairement
mini	mini
offender	délinquant, délinquante, coupable
forbid	défendre à  de faire , interdire à  de faire, interdire
bad-tempered	irascible, colérique
anchor	soutien, présentateur, présentatrice, ancre, ancre HTML
continually	continuellement
raised	surélevé
distract	détourner  de, détourner l'attention de, détourner l'attention de  de, distraire
carbon dioxide	dioxyde de carbone
invention	inventivité, imagination, invention, invention, fabrication
frightened	effrayé, avoir peur de
smack	gifler, gifle, claque
conquer	conquérir, vaincre, battre, conquérir
sadness	tristesse
trainee	stagiaire
thrill	frisson, vibrer pour , frémir pour, ravir, enchanter, vibrer, frémir, sensation forte
salon	salon de coiffure, salon, institut de beauté, salon de beauté
voucher	bon
array	tableau, éventail (de ), étalage (de )
failed	qui a fait faillite, raté
question mark	point d'interrogation
pissed	bourré, beurré, torché, pété, furieux, furieuse
optical	optique
balloon	grossir, s'envoler, ballon de baudruche, ballon, montgolfière, gonfler
entertaining	divertissant, distrayant, amusant, recevoir
standpoint	position, point de vue
tremble	trembler
molecular	moléculaire
warrior	guerrier, guerrière
compatible	compatible
workplace	lieu de travail
tease	aguicher, mettre en appétit, taquin, taquine, allumeur, allumeuse, crêper, provoquer, se moquer de, embêter, ennuyer
privately	à titre privé, à titre individuel, dans une école privée, dans l'enseignement privé, secrètement, intérieurement, en privé
lighten	détendre, éclaircir, éclairer, se dérider, s'égayer, alléger, s'éclaircir, s'alléger
adaptation	adaptation
multiply	multiplier, se multiplier
ribbon	ruban
disturbing	troublant, inquiétant, perturbant, bouleversant
tread	marcher, chape, marcher sur, fouler
broker	négocier, courtier en bourse, courtière en bourse
redundancy	licenciement, licenciement économique, redondance
overlap	chevaucher, chevauchement, se chevaucher
telescope	plier, replier, télescope, condenser
authentic	authentique
wholly	complètement, entièrement, complètement, entièrement, tout à fait
helmet	casque
projection	projection, prévision, saillie, projection
precision	précision
cushion	coussin, amortir, coussin, matelas
detection	découverte, détection
vendor	vendeur, vendeuse
absurd	absurde, ridicule, l'absurde
convincing	réaliste, persuasion, convaincant
inequality	inégalité
rehabilitation	réhabilitation, réinsertion, rééducation
supportive	qui soutient, de soutien, d'accompagnement, soutenir, encourager, qui soutient  (bien, beaucoup), qui aide  (bien, beaucoup), qui encourage
unify	unifier, s'unifier
gymnastics	de gymnastique, gymnastique
kidney	rognon, rein
dairy	laitier, laitière, exploitation laitière, laiterie, produits laitiers
batch	fournée, grouper, regrouper, lot
gorgeous	superbe, splendide
update	mettre à jour, tenir  au courant (de ), mettre  au courant (de ), informations, dernières informations, mettre à jour, actualiser, mise à jour
freezing	congélation, gelé
incapable	incapable, incompétent, incapable de (faire)
delicious	délicieux, délicieuse
fixture	rencontre, équipement, revenir régulièrement
architectural	architectural
burial	enterrement
glorious	glorieux, glorieuse, splendide
rod	canne, tige, bâton, coup de bâton, coup de baguette, coup de verge
ethical	d'éthique, éthique, moral
democrat	démocrate
aspiration	aspiration
registered	inscrit, déclaré, enregistré, déclaré
permanently	définitivement
worthy	noble, louable, digne de, digne, honorable, louable, méritant, méritant
accusation	accusation
minus	sans, sauf, moins
supervisor	directeur de thèse, directrice de thèse, superviseur
winning	gagnant, de la victoire, gagner, gains
placement	placement, disposition
revival	renaissance, retour, reprise
walker	déambulateur, trotteur, marcheur, marcheuse
nicely	bien
brigade	brigade
developed	urbanisé, développé, adulte
corpse	corps, cadavre
simplicity	simplicité
foster	promouvoir, encourager, nourrir, entretenir
violation	violation, viol
miserable	triste, pitoyable, affreux, affreuse, épouvantable, horrible, pourri, misérable, malheureux, malheureuse
expel	renvoyer, exclure, renvoyer  de , exclure  de, émettre, dégager, rejeter
vacuum	passer l'aspirateur dans, aspirateur, vide
roam	traîner dans, errer dans, errer, vagabonder
theology	théologie
telly	télé
contributor	donateur, donatrice, contributeur, contributrice
embarrassed	gêné, embarrassé
honesty	honnêteté
surrender	rendre, se rendre, reddition, capitulation, abandonner, remettre
microphone	micro
appliance	appareil
dragon	dragon
roundabout	rond-point, indirect, manège
Sudan	Soudan, le Soudan
prose	prose, en prose
gospel	l'Évangile, parole d'évangile, Évangile, gospel
eagle	aigle
presenter	présentateur, présentatrice, personne qui remet un prix, personne qui remet une récompense
coordination	coordination
abundance	abondance
pat	petite tape, caresser, tapoter, parfaitement, tout fait
reproduction	reproduction, copie, reproduction
presume	oser faire, présumer, supposer, présumer que, supposer que
probe	enquête, investigation, sonde, enquêter sur, interroger  pour obtenir, interroger, sondage, sonder
denial	déni, démenti
horizontal	horizontal
abnormal	anormal
undertaking	projet, engagement
eternal	continuel, continuelle, immuable, éternel, éternelle
stab	coup de couteau, poignarder, poignarder  dans
reasoning	rationalisation, réflexion
diabetes	diabète
garment	vêtement
diagnose	diagnostiquer  (à ), diagnostiquer  à, diagnostiquer, identifier, faire un diagnostic, faire des diagnostics, poser un diagnostic, poser des diagnostics
honourable	honorable, honorable, respectable, d'honneur
unclear	pas clair
worrying	inquiétant
upgrade	mettre à jour, mettre à niveau, actualiser, surclasser, promotion, passer à une version supérieure, passer à un système supérieur, promouvoir, surclassement, mise à jour, mise à niveau, actualisation, dernière version, mise à jour, mise à niveau, actualisation
walking	marcher, randonnée, randonnée pédestre
torture	torturer, torture
confidential	confidentiel, confidentielle, de confiance
tricky	difficile, délicat, difficile, fourbe, sournois, rusé
farming	agricole, agriculture
admiration	admiration
encompass	inclure
dual	double
cube	élever au cube, élever à la puissance trois, cube, découper en cubes, découper en dés
inheritance	héritage
developmental	de croissance, de développement
gossip	commérer, cancaner, jaser, commérer sur, cancaner sur, jaser sur, ragots, commérages, commère, bavarder, discuter
fortunate	chanceux, chanceuse
cult	culte, secte, à qui on voue un culte
tolerance	tolérance
pillar	colonne, pilier, soutien, pilier
vegetation	végéter, végétation
applicable	applicable à, applicable, en vigueur
lesser	le plus petit (de ), moindre, plus petit
frankly	franchement, franchement, ouvertement
biography	biographie
wit	homme d'esprit, femme d'esprit, esprit, présence d'esprit
bless	doter  de, gâter, bénir
salesperson	représentant (de commerce), représentante (de commerce), vendeur, vendeuse (dans un magasin)
configuration	configuration
foolish	imprudent, ridicule, bête, idiot, stupide
mistress	maîtresse
sprinkle	vermicelles, mettre  dans , ajouter  à, asperger  de, une pincée de, saupoudrer  de
dependence	dépendance, dépendance à
efficiently	efficacement
bolt	se ruer dehors, se précipiter dehors, verrou, verrouiller, se ruer hors de, se précipiter hors de, boulonner, s'emballer, vis
follower	adepte (de ), follower, fan, partisan, partisane
credible	fiable, crédible
activist	activiste
latitude	latitude
murderer	meurtrier, meurtrière
acquaintance	connaissance, connaissance de
unpleasant	désagréable, déplaisant, désagréable
freely	librement
pistol	pistolet
quotation	citation, cotation, devis
ham	jambon, au jambon
weave	tresser, tisser
disguise	déguiser  en, dissimuler, cacher, masquer, déguisement
penetrate	pénétrer, pénétrer dans, percer
linen	en lin, linge, linge de maison, lin
biblical	biblique
genre	genre
strangely	étrangement, bizarrement
fond	aimer faire , adorer faire, aimer, adorer, affectueux, affectueuse, fou, folle
prescribe	prescrire
ascertain	vérifier
genius	génie, don (extraordinaire)
presently	bientôt, actuellement, maintenant, en ce moment
Syria	Syrie
tablet	tablette, comprimé, cachet
plaster	plâtrer, enduire  de , enduire  sur , recouvrir  de, pansement (adhésif), afficher, plâtre, recouvrir  de
firefighter	pompier
wounded	blessé
accelerate	accélérer
coaching	entraînement
hormone	hormone
blast	coup, s'éclater, se marrer, explosion, abattre, faire sauter, faire exploser, être tiré, mince, zut, coup de
olive	olive, vert olive, olive, vert olive, aux olives
embassy	ambassade
illuminate	illuminer, éclairer, enluminer
collision	collision, conflit, choc
deadline	date limite, date butoir
financially	financièrement
critique	critique, faire la critique de
statutory	statutaire
reconcile	rapprocher  et, faire accepter  à, réconcilier  et , réconcilier  avec, concilier  et, se réconcilier, se faire à
workforce	main-d'œuvre
apologise	s'excuser de , s'excuser d'avoir fait, présenter ses excuses, faire ses excuses, présenter des excuses à  pour, présenter ses excuses à , faire ses excuses à, présenter ses excuses à  pour avoir fait
ample	fort, corpulent, largement assez de, suffisamment de, beaucoup de + [nom singulier ou pluriel]
presidency	mandat présidentiel, présidence
vest	gilet, maillot de corps, tricot de corps, débardeur
shove	pousser, bousculer, fourrer, mettre, pousser
wheelchair	fauteuil roulant
neighbouring	voisin, limitrophe
liberation	émancipation, libération
scarf	assembler  bout à bout, enter, assemblage, assemblage en biseau, enture, engloutir, couper le lard de, foulard, lard, écharpe
exclusively	en exclusivité, exclusivement
boast	se vanter de, posséder, compter, se vanter de faire , se vanter d'avoir fait, se vanter de faire, se vanter
virgin	inaugural, vierge, pur, sans alcool, la Vierge, vierge
monk	moine
disrupt	perturber, bouleverser
exemption	exemption, exonération
whichever	n'importe lequel, n'importe laquelle, quel que soit, quelle que soit, qu'importe
nomination	proposition, nomination
infrastructure	infrastructure
beneficial	bénéfique
Ghana	Ghana
saleswoman	vendeuse, commerciale, vendeuse (dans un magasin), représentante (de commerce)
territorial	territorial, de l'armée territoriale (britannique)
throne	trône
striking	saisissant, frappant, frappant, saisissant, remarquable
donate	donner, donner à, donner  pour, donner  à
balanced	objectif, objective, équilibré
bombing	bombardement, de bombardement
teapot	théière
legally	juridiquement, légalement
optimism	optimisme
scary	effrayant, effrayant, terrifiant
handbook	livre
inspect	examiner, inspecter, examiner de près, examiner avec attention
embed	enfoncer  dans , implanter  dans , insérer  dans, enraciner, ancrer, intégrer, enfoncer, implanter
ironing	repassage
furnish	fournir, fournir  à, meubler
rental	locatif, locative, location, loyer
curse	malédiction, calamité, sort, maudire, les règles, jurer, insulter
allocation	répartition, distribution, allocation
disposition	tendance, tempérament, naturel, disposition, humeur
steering wheel	volant
squash	squash, courge, écraser, aplatir
jerk	tirer d'un coup sec sur, coup sec, connard, connasse, le jerk, faire un mouvement brusque
vivid	frappant, vivant, vif, vive, fertile, débordant, net, nette, précis
grape	raisin, bordeaux, vigne
infinite	infini
tourism	tourisme
majesty	Majesté, majesté
gloomy	sombre, triste
noun	nom
artwork	œuvre, artwork
independently	indépendamment, de façon indépendante, de manière indépendante
rotten	méchant, pourri, avarié, pourri
cheer	merci, applaudir, bonne humeur, acclamer, applaudir, salut, santé, hourra
genuinely	sincèrement, vraiment, réellement, sincèrement
distributor	distributeur, distributeur, distributrice
pedestrian	piéton, piétonne, banal, convenu
courtesy	politesse, courtoisie
lick	plan de guitare, coup de langue, petit coup de peinture, lécher
salvation	salut, sauvetage, salut
supervise	surveiller, superviser, encadrer
next door	à côté de chez, à côté, d'à côté
rewind	rembobiner
pony	poney
socket	orbite, prise (de courant), cavité
halfway	quelque peu, à mi-chemin
profitable	rentable
pottery	poteries, poterie
liberate	libérer, libérer  de
interface	interface
renew	renouveler
swap	échanger  pour, échange, échanger
stack	mettre en rayon, étagères, pile, empiler  sur, des tas de, to stack shelves : s'occuper de la mise en rayon, mettre en rayon, tas
bitch	se plaindre, garce, chienne, chiant, salope, se plaindre de, râler, rouspéter, dire du mal de
footpath	sentier, trottoir
deem	considérer  comme étant , considérer que  est, juger, estimer, considérer, juger  être
dean	doyen, doyenne, doyen
reactor	réacteur
bun	chignon, petit pain
gig	concert
ignorance	ignorance
unfortunate	maladroit, malheureux, malheureuse
appetite	appétit, goût (pour )
terrain	terrain
oversee	superviser, surveiller
synthesis	synthèse
rack	tenailler, ronger, tourmenter, torturer, dévaster, -, étagère
unconscious	inconscient, inconscient, évanoui
shorts	court, sec, sèche avec, petit, diminutif de, ne plus avoir de
inquire	se renseigner, demander si/quand/comment/qui/ce que, demander des nouvelles de, se renseigner sur, examiner, demander
congregation	congrégation, assemblée des fidèles, rassemblement, groupe
